date,country_code,country_name,GDP_usd,CPI_index,FX_local_per_USD,Exports_usd,Imports_usd,Trade_balance_usd,Interest_rate_percent,WTI_usd_per_barrel
2020-12-01,THA,Thailand,505716937930.7961,113.57416785237342,31.92014175604766,293198296037.41974,291657133774.99457,1541162262.425171,3.079375,47.025
2021-01-01,THA,Thailand,506194668789.937,113.689320040059,31.9770934417717,296424506130.06,297103648539.909,-679142409.848999,3.06,52.008421052631576
2021-02-01,THA,Thailand,505315504523.0807,113.53672241617375,32.234114839497195,298723850567.655,300219221356.6506,-1495370788.9955444,3.0665277777777775,59.04631578947369
2021-03-01,THA,Thailand,504436340256.22437,113.3841247922885,32.49113623722268,301023195005.25,303334794173.39215,-2311599168.142151,3.073055555555555,62.333043478260876
2021-04-01,THA,Thailand,503557175989.36804,113.23152716840325,32.74815763494817,303322539442.845,306450366990.1337,-3127827547.2887573,3.0795833333333325,61.71666666666666
2021-05-01,THA,Thailand,502678011722.51166,113.078929544518,33.00517903267367,305621883880.44,309565939806.8753,-3944055926.4353027,3.08611111111111,65.1695
2021-06-01,THA,Thailand,501798847455.65533,112.92633192063275,33.26220043039916,307921228318.03503,312681512623.6169,-4760284305.581848,3.0926388888888874,71.37818181818182
2021-07-01,THA,Thailand,500919683188.799,112.7737342967475,33.51922182812465,310220572755.63,315797085440.3585,-5576512684.728516,3.0991666666666653,72.4852380952381
2021-08-01,THA,Thailand,500040518921.9427,112.62113667286225,33.77624322585014,312519917193.225,318912658257.1001,-6392741063.875122,3.1056944444444428,67.73045454545455
2021-09-01,THA,Thailand,499161354655.08636,112.468539048977,34.03326462357563,314819261630.82,322028231073.8417,-7208969443.0216675,3.1122222222222202,71.64619047619047
2021-10-01,THA,Thailand,498282190388.23,112.31594142509175,34.29028602130113,317118606068.41504,325143803890.58325,-8025197822.168213,3.1187499999999977,81.47666666666666
2021-11-01,THA,Thailand,497403026121.37366,112.1633438012065,34.547307419026616,319417950506.01,328259376707.3248,-8841426201.31482,3.125277777777775,79.14750000000001
2021-12-01,THA,Thailand,496523861854.51733,112.01074617732125,34.804328816752104,321717294943.605,331374949524.0664,-9657654580.461426,3.1318055555555526,71.71181818181819
2022-01-01,THA,Thailand,495644697587.661,111.858148553436,35.0613502144776,324016639381.2,334490522340.808,-10473882959.607971,3.13833333333333,83.22200000000001
2022-02-01,THA,Thailand,497333163117.10034,112.6484311963095,35.03975341167417,325151303825.0338,333864569432.0855,-8713265607.051697,3.23395833333333,91.64105263157894
2022-03-01,THA,Thailand,499021628646.5397,113.438713839183,35.01815660887073,326285968268.8677,333238616523.363,-6952648254.4953,3.3295833333333302,108.50260869565217
2022-04-01,THA,Thailand,500710094175.979,114.2289964820565,34.996559806067296,327420632712.70154,332612663614.6405,-5192030901.938965,3.4252083333333303,101.7775
2022-05-01,THA,Thailand,502398559705.41833,115.01927912493,34.974963003263866,328555297156.53534,331986710705.91797,-3431413549.3826294,3.52083333333333,109.55238095238094
