date,country_code,country_name,GDP_usd,CPI_index,FX_local_per_USD,Interest_rate_percent,WTI_usd_per_barrel
2009-05-01,THA,Thailand,301508675567.936,97.903041627738,33.41908441561606,4.62867833339962,59.028499999999994
2009-06-01,THA,Thailand,306458186913.0902,98.16516142427076,33.20241198866405,4.591848531586885,69.64090909090909
2009-07-01,THA,Thailand,311407698258.2445,98.42728122080352,32.98573956171205,4.55501872977415,64.15227272727272
2009-08-01,THA,Thailand,316357209603.39874,98.68940101733624,32.76906713476004,4.518188927961415,71.04476190476191
2009-09-01,THA,Thailand,321306720948.553,98.951520813869,32.552394707808034,4.48135912614868,69.40809523809523
2009-10-01,THA,Thailand,326256232293.7072,99.21364061040175,32.335722280856025,4.444529324335945,75.71545454545455
2009-11-01,THA,Thailand,331205743638.86145,99.4757604069345,32.119049853904016,4.40769952252321,77.99
2009-12-01,THA,Thailand,336155254984.01575,99.73788020346726,31.902377426952008,4.370869720710475,74.47
2010-01-01,THA,Thailand,341104766329.17,100.0,31.685705,4.33403991889774,78.32578947368421
2010-02-01,THA,Thailand,343580930770.3743,100.31739921511634,31.586207361111107,4.395167226770618,76.38736842105263
2010-03-01,THA,Thailand,346057095211.5787,100.63479843023266,31.486709722222216,4.456294534643496,81.20347826086957
2010-04-01,THA,Thailand,348533259652.78296,100.952197645349,31.387212083333324,4.517421842516375,84.29285714285714
2010-05-01,THA,Thailand,351009424093.9873,101.26959686046531,31.287714444444433,4.578549150389253,73.7435
2010-06-01,THA,Thailand,353485588535.19165,101.58699607558168,31.18821680555554,4.639676458262131,75.3359090909091
2010-07-01,THA,Thailand,355961752976.396,101.904395290698,31.08871916666665,4.70080376613501,76.31952380952382
2010-08-01,THA,Thailand,358437917417.60034,102.22179450581432,30.98922152777776,4.761931074007888,76.59909090909092
2010-09-01,THA,Thailand,360914081858.8047,102.53919372093068,30.889723888888867,4.823058381880767,75.24190476190476
2010-10-01,THA,Thailand,363390246300.00903,102.856592936047,30.790226249999975,4.884185689753645,81.89285714285714
2010-11-01,THA,Thailand,365866410741.2133,103.17399215116332,30.690728611111084,4.945312997626523,84.25285714285714
2010-12-01,THA,Thailand,368342575182.41766,103.49139136627966,30.591230972222192,5.006440305499401,89.14590909090909
2011-01-01,THA,Thailand,370818739623.622,103.808790581396,30.4917333333333,5.06756761337228,89.1705
2011-02-01,THA,Thailand,373047038428.2018,104.06960147403532,30.541013194444417,5.077546487803519,88.57842105263158
2011-03-01,THA,Thailand,375275337232.7815,104.33041236667466,30.590293055555534,5.08752536223476,102.85652173913044
2011-04-01,THA,Thailand,377503636037.36127,104.591223259314,30.63957291666665,5.0975042366659995,109.5325
2011-05-01,THA,Thailand,379731934841.941,104.85203415195332,30.688852777777768,5.10748311109724,100.90047619047618
2011-06-01,THA,Thailand,381960233646.5207,105.11284504459266,30.738132638888885,5.11746198552848,96.26409090909092
2011-07-01,THA,Thailand,384188532451.10046,105.373655937232,30.7874125,5.127440859959719,97.3035
2011-08-01,THA,Thailand,386416831255.68024,105.63446682987134,30.836692361111115,5.13741973439096,86.33304347826088
2011-09-01,THA,Thailand,388645130060.26,105.89527772251068,30.885972222222232,5.1473986088222,85.51523809523809
2011-10-01,THA,Thailand,390873428864.8397,106.15608861515,30.93525208333335,5.15737748325344,86.32238095238095
2011-11-01,THA,Thailand,393101727669.4195,106.41689950778934,30.984531944444463,5.16735635768468,97.1604761904762
2011-12-01,THA,Thailand,395330026473.9992,106.67771040042868,31.033811805555583,5.1773352321159205,98.56285714285715
2012-01-01,THA,Thailand,397558325278.579,106.938521293068,31.0830916666667,5.18731410654716,100.2735
2012-02-01,THA,Thailand,399456269388.0763,107.13322837461,31.053331250000035,5.17674073104426,102.204
2012-03-01,THA,Thailand,401354213497.57367,107.327935456152,31.02357083333337,5.16616735554136,106.15772727272729
2012-04-01,THA,Thailand,403252157607.071,107.522642537694,30.9938104166667,5.15559398003846,103.321
2012-05-01,THA,Thailand,405150101716.5683,107.717349619236,30.964050000000032,5.14502060453556,94.65454545454546
2012-06-01,THA,Thailand,407048045826.0657,107.912056700778,30.934289583333367,5.13444722903266,82.30333333333333
2012-07-01,THA,Thailand,408945989935.563,108.10676378232,30.9045291666667,5.12387385352976,87.8952380952381
2012-08-01,THA,Thailand,410843934045.0603,108.301470863862,30.874768750000033,5.11330047802686,94.13130434782607
2012-09-01,THA,Thailand,412741878154.5577,108.496177945404,30.845008333333368,5.10272710252396,94.51368421052632
2012-10-01,THA,Thailand,414639822264.055,108.690885026946,30.8152479166667,5.09215372702106,89.4913043478261
2012-11-01,THA,Thailand,416537766373.5523,108.885592108488,30.78548750000003,5.081580351518159,86.53142857142858
2012-12-01,THA,Thailand,418435710483.0497,109.08029919003,30.755727083333365,5.071006976015259,87.8595
2013-01-01,THA,Thailand,420333654592.547,109.275006271572,30.7259666666667,5.06043360051236,94.75666666666667
2013-02-01,THA,Thailand,419250770059.639,109.44758263336816,30.872122222222252,5.05116014614685,95.30894736842104
2013-03-01,THA,Thailand,418167885526.731,109.62015899516432,31.0182777777778,5.04188669178134,92.9385
2013-04-01,THA,Thailand,417085000993.823,109.79273535696048,31.16443333333335,5.03261323741583,92.02136363636365
2013-05-01,THA,Thailand,416002116460.915,109.96531171875668,31.3105888888889,5.02333978305032,94.50954545454546
2013-06-01,THA,Thailand,414919231928.007,110.13788808055284,31.456744444444453,5.01406632868481,95.7725
2013-07-01,THA,Thailand,413836347395.099,110.310464442349,31.6029,5.0047928743193,104.67090909090908
2013-08-01,THA,Thailand,412753462862.191,110.48304080414516,31.74905555555555,4.99551941995379,106.57272727272726
2013-09-01,THA,Thailand,411670578329.283,110.65561716594134,31.895211111111102,4.98624596558828,106.2895
2013-10-01,THA,Thailand,410587693796.375,110.82819352773753,32.041366666666654,4.97697251122277,100.53826086956522
2013-11-01,THA,Thailand,409504809263.467,111.00076988953369,32.1875222222222,4.96769905685726,93.864
2013-12-01,THA,Thailand,408421924730.559,111.17334625132985,32.33367777777775,4.95842560249175,97.6252380952381
2014-01-01,THA,Thailand,407339040197.651,111.345922613126,32.4798333333333,4.94915214812624,94.61714285714284
2014-02-01,THA,Thailand,406835473366.85376,111.262373739558,32.62715694444442,4.931045718179898,100.81736842105263
2014-03-01,THA,Thailand,406331906536.0565,111.17882486599,32.774480555555535,4.912939288233557,100.80380952380952
2014-04-01,THA,Thailand,405828339705.2593,111.095275992422,32.921804166666654,4.894832858287215,102.0690476190476
2014-05-01,THA,Thailand,405324772874.462,111.011727118854,33.069127777777766,4.8767264283408736,102.17714285714284
2014-06-01,THA,Thailand,404821206043.66473,110.928178245286,33.216451388888885,4.8586199983945315,105.7942857142857
2014-07-01,THA,Thailand,404317639212.8675,110.844629371718,33.363775000000004,4.8405135684481895,103.58863636363638
2014-08-01,THA,Thailand,403814072382.07025,110.76108049815,33.511098611111116,4.822407138501848,96.53619047619048
2014-09-01,THA,Thailand,403310505551.273,110.677531624582,33.658422222222235,4.804300708555506,93.21190476190476
2014-10-01,THA,Thailand,402806938720.4757,110.593982751014,33.80574583333335,4.786194278609165,84.39695652173914
2014-11-01,THA,Thailand,402303371889.67847,110.510433877446,33.953069444444466,4.768087848662823,75.78947368421052
